E ID,date,description,amount,category
59,04/13/2012,"Costco",33.00,home
60,04/18/2012,"Walmart",182.00,home
61,04/27/2012,"American Eagle",139.00,shopping
62,04/28/2012,"Sears",110.00,shopping
63,04/03/2012,"Robeks",18.00,restaurants
64,04/26/2012,"Wendy's",37.00,restaurants
65,04/10/2012,"Showmars",45.00,restaurants
66,04/07/2012,"GameWorks",30.00,restaurants
67,04/23/2012,"Max & Erma's",10.00,restaurants
68,04/06/2012,"Fatburger",21.00,restaurants
69,04/13/2012,"dining",19.00,restaurants
70,04/02/2012,"Subway",7.00,restaurants
459,04/22/2012,"Skyline Chili",21.00,restaurants
1286,04/10/2012,"train",45.00,transportation
71,05/07/2012,"Hy-Vee Food Stores",169.00,grocery
72,05/09/2012,"Felpausch",113.00,grocery
73,05/15/2012,"QuickChek",93.00,transportation
74,05/27/2012,"Valero",25.00,transportation
75,05/11/2012,"Travelcenters of America",70.00,transportation
76,05/01/2012,"Pilot",45.00,transportation
77,05/28/2012,"Aeropostale",135.00,shopping
78,05/08/2012,"Elder-Beerman",62.00,shopping
79,05/21/2012,"Hollister",86.00,shopping
80,05/22/2012,"Hollister",57.00,shopping
81,05/05/2012,"Bergner's",153.00,shopping
82,05/09/2012,"Perkins Restaurant and Bakery",21.00,restaurants
83,05/05/2012,"Qdoba Mexican Grill",31.00,restaurants
84,05/08/2012,"White Castle",16.00,restaurants
85,05/17/2012,"McAlister's Deli",40.00,restaurants
464,05/24/2012,"BP",48.00,transportation
469,05/23/2012,"bestbuy",24.00,home
472,05/19/2012,"Bergdorf Goodman",119.00,shopping
1315,05/19/2012,"hhgregg",260.00,home
86,06/05/2012,"Giant Eagle",29.00,grocery
87,06/03/2012,"76",41.00,transportation
88,06/14/2012,"Exxon",33.00,transportation
89,06/28/2012,"Getty",85.00,transportation
90,06/07/2012,"family christian stores",5.00,entertainment
91,06/01/2012,"Radioshack",325.00,home
92,06/05/2012,"Kohl's",118.00,shopping
93,06/06/2012,"H&M",80.00,shopping
94,06/04/2012,"Lord & Taylor",92.00,shopping
95,06/19/2012,"Saks Fifth Avenue",68.00,shopping
96,06/17/2012,"utility",216.00,utilities
97,06/19/2012,"Trader Vic's",6.00,restaurants
477,06/14/2012,"BP",58.00,transportation
886,06/22/2012,"6pm",496.00,home
891,06/24/2012,"bill",221.00,utilities
98,07/30/2012,"Western Family Foods",39.00,grocery
99,07/09/2012,"Compare Foods",159.00,grocery
100,07/31/2012,"Schnucks",116.00,grocery
101,07/05/2012,"Getty",69.00,transportation
102,07/15/2012,"family christian stores",20.00,entertainment
103,07/04/2012,"shakespeare and company",14.00,entertainment
104,07/23/2012,"American Eagle",51.00,shopping
105,07/10/2012,"Sears",48.00,shopping
106,07/27/2012,"Bergner's",142.00,shopping
107,07/31/2012,"Hardee's",33.00,restaurants
108,07/29/2012,"Rainforest Cafe",9.00,restaurants
109,08/14/2012,"Superior Grocers",173.00,grocery
110,08/04/2012,"BP",35.00,transportation
111,08/13/2012,"tree of life christian outlet",24.00,entertainment
112,08/23/2012,"bestbuy",313.00,home
113,08/09/2012,"Costco",236.00,home
114,08/26/2012,"CVS",337.00,home
115,08/18/2012,"Lowes",147.00,home
116,08/27/2012,"Nordstrom",179.00,shopping
117,08/20/2012,"Amazon",50.00,shopping
118,08/11/2012,"GAP",74.00,shopping
119,08/31/2012,"Ruby Tuesday",13.00,restaurants
120,08/13/2012,"Friendly's",47.00,restaurants
121,08/27/2012,"Mrs. Fields",48.00,restaurants
122,08/22/2012,"Subway",34.00,restaurants
501,08/14/2012,"Amazon",87.00,shopping
1361,08/18/2012,"AMC",27.00,entertainment
123,09/01/2012,"train",88.00,transportation
124,09/13/2012,"QuickChek",44.00,transportation
125,09/26/2012,"cinema",22.00,entertainment
126,09/13/2012,"shakespeare and company",14.00,entertainment
127,09/19/2012,"CVS",422.00,home
128,09/01/2012,"Costco",427.00,home
129,09/03/2012,"Walmart",222.00,home
130,09/19/2012,"Carson Pirie Scott",51.00,shopping
131,09/28/2012,"Dish Network",130.00,utilities
132,09/13/2012,"Applebee's",21.00,restaurants
133,09/13/2012,"Godfather's Pizza",6.00,restaurants
134,09/14/2012,"Bakers Square",41.00,restaurants
512,09/28/2012,"Newegg",361.00,home
519,09/01/2012,"Spangles (restaurant)",44.00,restaurants
953,09/01/2012,"Rainforest Cafe",29.00,restaurants
135,10/21/2012,"subway",91.00,transportation
136,10/31/2012,"Citgo",71.00,transportation
137,10/18/2012,"Marathon Oil",45.00,transportation
138,10/30/2012,"strand book store",5.00,entertainment
139,10/08/2012,"hudson news",18.00,entertainment
140,10/31/2012,"Regal",24.00,entertainment
141,10/12/2012,"Tmobile",88.00,utilities
142,10/02/2012,"Sprint",259.00,utilities
143,10/07/2012,"Shane's Rib Shack",20.00,restaurants
144,10/11/2012,"Pei Wei Asian Diner",15.00,restaurants
145,10/31/2012,"Dave & Buster's",15.00,restaurants
146,10/11/2012,"Applebee's",10.00,restaurants
147,10/12/2012,"Hobee's Restaurant",21.00,restaurants
148,10/23/2012,"Blimpie",43.00,restaurants
149,10/15/2012,"Carrows",47.00,restaurants
150,10/16/2012,"Qdoba Mexican Grill",27.00,restaurants
151,10/31/2012,"Denny's",49.00,restaurants
521,10/07/2012,"El Super",37.00,grocery
535,10/24/2012,"GameWorks",41.00,restaurants
968,10/25/2012,"H&M",129.00,shopping
152,11/04/2012,"Spartan Stores",85.00,grocery
153,11/23/2012,"Dierbergs",118.00,grocery
154,11/29/2012,"Jons Marketplace",139.00,grocery
155,11/16/2012,"Airport",40.00,transportation
156,11/02/2012,"Gas City, Ltd.",45.00,transportation
157,11/18/2012,"76",59.00,transportation
158,11/15/2012,"Marathon Oil",37.00,transportation
159,11/13/2012,"Love's",86.00,transportation
160,11/18/2012,"Sunoco",74.00,transportation
161,11/10/2012,"games",15.00,entertainment
162,11/12/2012,"books a million",15.00,entertainment
163,11/14/2012,"Netflix",22.00,entertainment
164,11/27/2012,"UPS",253.00,home
165,11/03/2012,"Home Depot",331.00,home
166,11/14/2012,"Carson Pirie Scott",156.00,shopping
167,11/01/2012,"Sweet Tomatoes",47.00,restaurants
168,11/15/2012,"Fuddruckers",39.00,restaurants
546,11/29/2012,"Domino's Pizza",24.00,restaurants
547,11/12/2012,"Sneaky Pete's",34.00,restaurants
982,11/26/2012,"strand book store",18.00,entertainment
1403,11/01/2012,"Lion Food",48.00,grocery
169,12/22/2012,"Sheetz",44.00,transportation
170,12/19/2012,"BP",48.00,transportation
171,12/17/2012,"Gulf",28.00,transportation
172,12/06/2012,"Chevron",31.00,transportation
173,12/02/2012,"books-a-million",23.00,entertainment
174,12/22/2012,"book off usa",29.00,entertainment
175,12/13/2012,"Home Depot",243.00,home
176,12/18/2012,"Walmart",290.00,home
177,12/15/2012,"Aeropostale",163.00,shopping
178,12/19/2012,"Barneys New York",22.00,shopping
179,12/30/2012,"Dish Network",66.00,utilities
180,12/07/2012,"Chi-Chi's",42.00,restaurants
181,12/05/2012,"Godfather's Pizza",21.00,restaurants
182,12/09/2012,"Mitchell's Fish Market",30.00,restaurants
183,12/10/2012,"Smokey Bones",47.00,restaurants
184,12/10/2012,"Eegee's",42.00,restaurants
185,12/04/2012,"Rubio's Fresh Mexican Grill",13.00,restaurants
186,12/03/2012,"Huddle House",39.00,restaurants
187,12/30/2012,"Red Robin",50.00,restaurants
188,12/07/2012,"The Old Spaghetti Factory",25.00,restaurants
189,12/27/2012,"Swensen's",11.00,restaurants
1002,12/12/2012,"Jason's Deli",13.00,restaurants
1007,12/14/2012,"Chevys Fresh Mex",50.00,restaurants
1423,12/05/2012,"joseph-beth booksellers",19.00,entertainment
1435,12/06/2012,"Papa Gino's",32.00,restaurants
190,01/13/2013,"Mobil",51.00,transportation
191,01/07/2013,"Cumberland Farms",29.00,transportation
192,01/08/2013,"JetBlue",36.00,transportation
193,01/01/2013,"Mobil",45.00,transportation
194,01/13/2013,"Sunoco",37.00,transportation
195,01/23/2013,"tree of life christian outlet",21.00,entertainment
196,01/18/2013,"tree of life christian outlet",17.00,entertainment
197,01/15/2013,"joseph-beth booksellers",15.00,entertainment
198,01/10/2013,"Smashburger",21.00,restaurants
199,01/07/2013,"Mrs. Fields",47.00,restaurants
200,01/19/2013,"Boston Market",6.00,restaurants
201,01/13/2013,"Dairy Queen",11.00,restaurants
202,01/31/2013,"Ruby Tuesday",31.00,restaurants
580,01/15/2013,"Georgia Tech",2103.00,special
1008,01/27/2013,"Royal Ahold",127.00,grocery
1020,01/04/2013,"Trader Vic's",50.00,restaurants
1442,01/04/2013,"shakespeare and company",15.00,entertainment
203,02/13/2013,"NSA Supernn,mnmarkets",60.00,grocery
204,02/07/2013,"Home Economist",134.00,grocery
205,02/15/2013,"Roth's Fresh Markets",162.00,grocery
206,02/09/2013,"home",50.00,home
207,02/05/2013,"hhgregg",396.00,home
208,02/27/2013,"Home Depot",461.00,home
209,02/25/2013,"Office Depot",334.00,home
210,02/10/2013,"Boston Store",89.00,shopping
211,02/19/2013,"Boscov's",151.00,shopping
212,02/23/2013,"Ebaybv",114.00,shopping
213,02/02/2013,"Younkers",137.00,shopping
214,02/02/2013,"Sears Essentials",73.00,shopping
215,02/24/2013,"Flint Energies",211.00,utilities
216,02/06/2013,"verizon",57.00,utilities
217,02/06/2013,"Joe's Crab Shack",22.00,restaurants
218,02/24/2013,"Burger Street",38.00,restaurants
1032,02/19/2013,"Target",245.00,home
1033,02/15/2013,"Last Call Neiman Marcus",116.00,shopping
1465,02/27/2013,"Houlihan's",29.00,restaurants
219,03/14/2013,"Associated Grocers of New England",47.00,grocery
220,03/07/2013,"Magruder's",43.00,grocery
221,03/11/2013,"El Super",115.00,grocery
222,03/19/2013,"Amtrak",34.00,transportation
223,03/30/2013,"subway",82.00,transportation
224,03/13/2013,"Wawa",21.00,transportation
225,03/29/2013,"MARTA",78.00,transportation
226,03/07/2013,"QuikTrip",72.00,transportation
227,03/06/2013,"subway",23.00,transportation
228,03/09/2013,"7-Eleven brand gasoline",25.00,transportation
229,03/17/2013,"Murphy USA",99.00,transportation
230,03/21/2013,"movies",15.00,entertainment
231,03/16/2013,"barns & noble",20.00,entertainment
232,03/21/2013,"bestbuy",26.00,home
233,03/14/2013,"Staples",498.00,home
234,03/31/2013,"officemax",169.00,home
235,03/05/2013,"Bergdorf Goodman",29.00,shopping
236,03/22/2013,"AT&T",180.00,utilities
237,03/21/2013,"Flint Energies",63.00,utilities
238,03/15/2013,"Green Mill",19.00,restaurants
239,03/12/2013,"Golden Corral",6.00,restaurants
240,03/20/2013,"Logan's Roadhouse",15.00,restaurants
241,03/09/2013,"Uno Chicago Grill",12.00,restaurants
242,03/13/2013,"Lone Star Steakhouse & Saloon",48.00,restaurants
243,03/21/2013,"The Old Spaghetti Factory",21.00,restaurants
244,03/26/2013,"Sub Station II",18.00,restaurants
602,03/12/2013,"Airport",77.00,transportation
605,03/16/2013,"Getty",63.00,transportation
1047,03/31/2013,"Amoco",92.00,transportation
1058,03/06/2013,"Comcast",167.00,utilities
245,04/16/2013,"Sedano's",106.00,grocery
246,04/19/2013,"99 Ranch Market",114.00,grocery
247,04/21/2013,"subway",33.00,transportation
248,04/15/2013,"Shell",54.00,transportation
249,04/27/2013,"Citgo",81.00,transportation
250,04/08/2013,"Marathon Oil",87.00,transportation
251,04/07/2013,"Target",303.00,home
252,04/15/2013,"Nordstrom",57.00,shopping
253,04/18/2013,"Sears",171.00,shopping
254,04/18/2013,"Amazon",34.00,shopping
255,04/07/2013,"Younkers",139.00,shopping
256,04/28/2013,"Comcast",283.00,utilities
257,04/22/2013,"Golden Chick",26.00,restaurants
258,04/10/2013,"LongHorn Steakhouse",31.00,restaurants
259,04/14/2013,"Bahama Breeze",22.00,restaurants
260,04/23/2013,"Champps Americana",21.00,restaurants
261,04/27/2013,"Penn Station (restaurant)",20.00,restaurants
262,04/14/2013,"Chipotle Mexican Grill",33.00,restaurants
263,04/24/2013,"Donatos Pizza",15.00,restaurants
264,04/20/2013,"Blimpie",21.00,restaurants
628,04/24/2013,"Mobil",24.00,transportation
638,04/30/2013,"Parisian (Bon-Ton)",61.00,shopping
1071,04/24/2013,"books a million",23.00,entertainment
1482,04/10/2013,"Nijiya Market",114.00,grocery
1492,04/15/2013,"Nordstrom",72.00,shopping
1493,04/11/2013,"Amazon.com",100.00,shopping
1496,04/04/2013,"Mitchell's Fish Market",37.00,restaurants
265,05/01/2013,"King Kullen",111.00,grocery
266,05/29/2013,"Winn-Dixie",103.00,grocery
267,05/17/2013,"Natural Grocers by Vitamin Cottage",180.00,grocery
268,05/15/2013,"Hess",99.00,transportation
269,05/21/2013,"Carnival",96.00,transportation
270,05/26/2013,"bus",22.00,transportation
271,05/07/2013,"BP",31.00,transportation
272,05/16/2013,"Marathon Oil",27.00,transportation
273,05/02/2013,"BP",45.00,transportation
274,05/13/2013,"6pm",278.00,home
275,05/22/2013,"UPS",12.00,home
276,05/09/2013,"Mitchell's Fish Market",19.00,restaurants
277,05/20/2013,"Johnny Rockets",33.00,restaurants
278,05/10/2013,"Ledo Pizza",28.00,restaurants
279,05/01/2013,"Naugles",46.00,restaurants
641,05/06/2013,"Piggly Wiggly",142.00,grocery
645,05/26/2013,"itunes",25.00,entertainment
649,05/10/2013,"Chick Fil A",19.00,restaurants
1087,05/18/2013,"Rouse's Supermarket",169.00,grocery
280,06/11/2013,"Gulf",65.00,transportation
281,06/18/2013,"Cumberland Farms",82.00,transportation
282,06/03/2013,"hastings entertainment",9.00,entertainment
283,06/07/2013,"family christian stores",24.00,entertainment
284,06/04/2013,"Office Depot",345.00,home
285,06/27/2013,"home",238.00,home
286,06/24/2013,"Aeropostale",154.00,shopping
287,06/26/2013,"Bergner's",145.00,shopping
288,06/21/2013,"Att.com",291.00,utilities
289,06/13/2013,"T-Mobile",218.00,utilities
290,06/02/2013,"Bennigan's",28.00,restaurants
662,06/24/2013,"RaceTrac/Raceway",29.00,transportation
666,06/23/2013,"RaceTrac/Raceway",95.00,transportation
1522,06/11/2013,"Walmart",462.00,home
291,07/11/2013,"Trader Joe's",119.00,grocery
292,07/01/2013,"Seller's Brothers",138.00,grocery
293,07/18/2013,"Lion Food",195.00,grocery
294,07/07/2013,"barns & noble",14.00,entertainment
295,07/18/2013,"hudson news",28.00,entertainment
296,07/08/2013,"deseret book",19.00,entertainment
297,07/01/2013,"Costco",28.00,home
298,07/30/2013,"Nordstrom",138.00,shopping
299,07/15/2013,"Amazon.com",113.00,shopping
300,07/22/2013,"Herberger's",52.00,shopping
301,07/05/2013,"Burgerville",15.00,restaurants
302,07/31/2013,"Charlie Brown's Steakhouse",14.00,restaurants
303,07/29/2013,"Chick Fil A",42.00,restaurants
304,07/27/2013,"Mr. Hero",31.00,restaurants
305,07/17/2013,"Saladworks",50.00,restaurants
306,07/11/2013,"Charlie Brown's Steakhouse",9.00,restaurants
307,07/09/2013,"Mr. Hero",40.00,restaurants
684,07/30/2013,"New Seasons Market",56.00,grocery
1140,07/17/2013,"barns & noble",21.00,entertainment
1141,07/21/2013,"Home Depot",177.00,home
308,08/08/2013,"RaceTrac/Raceway",64.00,transportation
309,08/18/2013,"Hess",23.00,transportation
310,08/09/2013,"Phillips 66",84.00,transportation
311,08/15/2013,"Gulf",40.00,transportation
312,08/23/2013,"Citgo",39.00,transportation
313,08/06/2013,"Amtrak",100.00,transportation
314,08/11/2013,"Airport",68.00,transportation
315,08/20/2013,"Ikea",366.00,home
316,08/06/2013,"Target",156.00,home
317,08/02/2013,"JCPenney",131.00,shopping
318,08/08/2013,"Boston Store",110.00,shopping
319,08/20/2013,"Dillard's",89.00,shopping
320,08/16/2013,"Younkers",91.00,shopping
321,08/10/2013,"Boston Store",75.00,shopping
322,08/16/2013,"utilities",217.00,utilities
323,08/11/2013,"Noodles & Company",42.00,restaurants
324,08/27/2013,"restaurant",20.00,restaurants
325,08/26/2013,"Perkins Restaurant and Bakery",28.00,restaurants
326,08/03/2013,"Chi-Chi's",40.00,restaurants
327,08/22/2013,"Ruby Tuesday",25.00,restaurants
328,08/04/2013,"Tilted Kilt",26.00,restaurants
329,08/27/2013,"Quaker Steak & Lube",49.00,restaurants
330,08/10/2013,"Twin Peaks",20.00,restaurants
331,08/06/2013,"Rax",13.00,restaurants
332,08/17/2013,"Atlanta Bread Company",40.00,restaurants
703,08/17/2013,"train",87.00,transportation
1552,08/01/2013,"Andronico's",99.00,grocery
333,09/08/2013,"Dahl's Foods",45.00,grocery
334,09/10/2013,"Royal Farms",40.00,transportation
335,09/20/2013,"Getty",34.00,transportation
336,09/28/2013,"Citgo",37.00,transportation
337,09/25/2013,"Cumberland Farms",28.00,transportation
338,09/17/2013,"games",23.00,entertainment
339,09/26/2013,"half price books",10.00,entertainment
340,09/01/2013,"barns & noble",10.00,entertainment
341,09/20/2013,"Home Depot",208.00,home
342,09/28/2013,"officemax",56.00,home
343,09/12/2013,"Hollister",144.00,shopping
344,09/18/2013,"Southern Company",77.00,utilities
345,09/28/2013,"Red Hot & Blue",49.00,restaurants
346,09/17/2013,"Copeland's",32.00,restaurants
347,09/22/2013,"Gatti's Pizza",29.00,restaurants
348,09/13/2013,"Swensen's",24.00,restaurants
349,09/30/2013,"Which Wich?",27.00,restaurants
350,09/08/2013,"Cheesecake Factory",44.00,restaurants
726,09/14/2013,"Taco John's",32.00,restaurants
1568,09/16/2013,"Ukrop's",113.00,grocery
1569,09/06/2013,"Lunardi's",112.00,grocery
351,10/28/2013,"IGA",152.00,grocery
352,10/10/2013,"QuickChek",35.00,transportation
353,10/08/2013,"Travelcenters of America",58.00,transportation
354,10/21/2013,"Hess",22.00,transportation
355,10/07/2013,"Chevron",82.00,transportation
356,10/20/2013,"Shell",57.00,transportation
357,10/15/2013,"Getty",48.00,transportation
358,10/30/2013,"Greyhound",51.00,transportation
359,10/13/2013,"UPS",210.00,home
360,10/28/2013,"home",30.00,home
361,10/22/2013,"Bloomingdale's",161.00,shopping
362,10/23/2013,"Sears",54.00,shopping
363,10/30/2013,"Southern Company",273.00,utilities
364,10/26/2013,"Lone Star Steakhouse & Saloon",33.00,restaurants
365,10/18/2013,"Jamba Juice",31.00,restaurants
366,10/15/2013,"Stir Crazy",25.00,restaurants
367,10/31/2013,"Waffle House",45.00,restaurants
368,10/15/2013,"Bojangles' Famous Chicken 'n Biscuits",23.00,restaurants
369,10/29/2013,"Mr. Hero",22.00,restaurants
370,10/14/2013,"Rock Bottom",37.00,restaurants
371,10/29/2013,"Starbucks",14.00,restaurants
372,10/29/2013,"Chuck E. Cheese's",38.00,restaurants
727,10/10/2013,"Safeway Inc.",35.00,grocery
373,11/06/2013,"lifeway christian resources",14.00,entertainment
374,11/01/2013,"Cinemark",19.00,entertainment
375,11/24/2013,"Kirkland's",383.00,home
376,11/08/2013,"Home Depot",233.00,home
377,11/10/2013,"Barneys New York",153.00,shopping
378,11/17/2013,"Southern Company",178.00,utilities
379,11/21/2013,"Tennesse Valley Authority",86.00,utilities
380,11/23/2013,"Joe's Crab Shack",45.00,restaurants
381,11/12/2013,"Checkers",48.00,restaurants
382,11/27/2013,"Panera Bread",30.00,restaurants
750,11/13/2013,"Att.com",85.00,utilities
751,11/17/2013,"Chuck-A-Rama",28.00,restaurants
383,12/31/2013,"Remke Markets bigg's",59.00,grocery
384,12/17/2013,"Western Family Foods",111.00,grocery
385,12/14/2013,"Sinclair",72.00,transportation
386,12/12/2013,"JetBlue",81.00,transportation
387,12/15/2013,"76",83.00,transportation
388,12/29/2013,"RaceTrac/Raceway",52.00,transportation
389,12/14/2013,"RaceTrac/Raceway",39.00,transportation
390,12/06/2013,"Flying J",100.00,transportation
391,12/29/2013,"Radioshack",479.00,home
392,12/19/2013,"walgreens",200.00,home
393,12/05/2013,"Hollister",65.00,shopping
394,12/20/2013,"Amazon",176.00,shopping
395,12/16/2013,"Qdoba Mexican Grill",37.00,restaurants
396,12/12/2013,"Krystal",47.00,restaurants
397,12/07/2013,"Chick-fil-A",23.00,restaurants
754,12/21/2013,"QuikTrip",79.00,transportation
763,12/28/2013,"Kohl's",200.00,shopping
1215,12/01/2013,"Lunds",90.00,grocery
1220,12/05/2013,"Southwest",59.00,transportation
1222,12/28/2013,"MARTA",70.00,transportation
1237,12/29/2013,"GameWorks",46.00,restaurants
398,01/14/2012,"Food City",100.00,grocery
399,01/30/2012,"González Northgate",117.00,grocery
400,01/25/2012,"Getty",31.00,transportation
401,01/09/2012,"Love's",74.00,transportation
402,01/24/2012,"Greyhound",56.00,transportation
403,01/25/2012,"Sunoco",58.00,transportation
404,01/19/2012,"Airport",59.00,transportation
405,01/23/2012,"books",19.00,entertainment
406,01/17/2012,"deseret book",12.00,entertainment
407,01/24/2012,"games",15.00,entertainment
408,01/22/2012,"Office Depot",75.00,home
409,01/05/2012,"bestbuy",170.00,home
410,01/05/2012,"The Bon-Ton",191.00,shopping
411,01/06/2012,"Boscov's",83.00,shopping
412,01/26/2012,"Chick-fil-A",5.00,restaurants
413,01/09/2012,"FATZ",43.00,restaurants
414,01/18/2012,"IHOP",9.00,restaurants
415,01/28/2012,"Seasons 52",23.00,restaurants
416,01/04/2012,"Max & Erma's",16.00,restaurants
417,01/05/2012,"Moe's Southwest Grill",44.00,restaurants
418,01/22/2012,"Cheeseburger in Paradise",49.00,restaurants
420,01/14/2012,"Cheesecake Factory",40.00,restaurants
421,01/25/2012,"East of Chicago Pizza",40.00,restaurants
793,01/18/2012,"Last Call Neiman Marcus",152.00,shopping
422,02/22/2012,"Redner's Warehouse Markets",114.00,grocery
423,02/18/2012,"Wegmans",171.00,grocery
424,02/27/2012,"Mobil",82.00,transportation
425,02/22/2012,"Rite aid",132.00,home
426,02/05/2012,"6pm",136.00,home
427,02/03/2012,"ACE",474.00,home
428,02/03/2012,"Ebaybv",20.00,shopping
429,02/23/2012,"Church's",7.00,restaurants
430,02/28/2012,"bakery",29.00,restaurants
431,02/16/2012,"Domino's Pizza",18.00,restaurants
432,02/04/2012,"Eegee's",30.00,restaurants
433,02/18/2012,"Mrs. Fields",12.00,restaurants
434,02/15/2012,"El Pollo Loco",27.00,restaurants
435,02/13/2012,"Penn Station (restaurant)",17.00,restaurants
436,02/17/2012,"Don Pablo's",25.00,restaurants
437,02/12/2012,"Checkers",41.00,restaurants
806,02/22/2012,"Outback Steakhouse",40.00,restaurants
1251,02/06/2012,"Carnival",61.00,transportation
438,03/01/2012,"Lion Food",139.00,grocery
439,03/26/2012,"Riesbeck's Food Markets",103.00,grocery
440,03/03/2012,"QuikTrip",82.00,transportation
441,03/10/2012,"subway",26.00,transportation
442,03/03/2012,"dvd",12.00,entertainment
443,03/20/2012,"Radioshack",97.00,home
444,03/15/2012,"Macy's",194.00,shopping
446,03/04/2012,"AT&T",275.00,utilities
447,03/04/2012,"Taco Bueno",29.00,restaurants
448,03/09/2012,"Long John Silver's",39.00,restaurants
449,03/14/2012,"Ben & Jerry's",37.00,restaurants
450,04/29/2012,"Reasors",80.00,grocery
451,04/11/2012,"Penn Traffic",72.00,grocery
452,04/25/2012,"RaceTrac/Raceway",69.00,transportation
453,04/12/2012,"ferry",83.00,transportation
454,04/03/2012,"QuikTrip",94.00,transportation
455,04/14/2012,"powell's books",28.00,entertainment
456,04/07/2012,"officemax",18.00,home
457,04/29/2012,"Macy's",80.00,shopping
458,04/26/2012,"Chili's",44.00,restaurants
460,04/22/2012,"BJ's Restaurant & Brewery",48.00,restaurants
461,04/04/2012,"El Chico",44.00,restaurants
850,04/11/2012,"Quiznos",22.00,restaurants
1291,04/17/2012,"movies",17.00,entertainment
462,05/17/2012,"Rosauers",114.00,grocery
463,05/18/2012,"Love's",24.00,transportation
465,05/15/2012,"Love's",51.00,transportation
466,05/30/2012,"Amoco",82.00,transportation
467,05/08/2012,"Travelcenters of America",98.00,transportation
468,05/01/2012,"Home Depot",229.00,home
470,05/05/2012,"Sears Essentials",200.00,shopping
471,05/03/2012,"Sears Essentials",50.00,shopping
473,05/30/2012,"Neiman Marcus",90.00,shopping
855,05/20/2012,"Royal Farms",21.00,transportation
1319,05/14/2012,"Cold Stone Creamery",45.00,restaurants
474,06/19/2012,"Whole Foods Market",104.00,grocery
475,06/11/2012,"New Deal Market",104.00,grocery
476,06/14/2012,"Fred Meyer",158.00,grocery
478,06/30/2012,"Gulf",43.00,transportation
479,06/25/2012,"Sheetz",75.00,transportation
