eid	date	description	amount	category
96	5/24/2012	Gino's Pizza and Spaghetti	34	restaurants
97	6/7/2012	Great Wall Supermarket	187	grocery
98	6/26/2012	Pilot	33	transportation
99	6/9/2012	Hess	59	transportation
100	6/16/2012	Amtrak	32	transportation
101	6/27/2012	dvds	23	entertainment
102	6/30/2012	Office Depot	433	home
103	6/21/2012	Best Buy	77	home
104	6/20/2012	UPS	51	home
105	6/14/2012	Nordstrom Rack	46	shopping
106	6/22/2012	Younkers	77	shopping
107	6/29/2012	Kohl's	119	shopping
108	6/18/2012	JCPenney	152	shopping
109	6/9/2012	Bergner's	116	shopping
110	6/29/2012	Dish Network	132	utilities
111	6/11/2012	DirectTV	171	utilities
112	6/30/2012	Jamba Juice	25	restaurants
113	6/16/2012	Carrows	48	restaurants
541	6/19/2012	Papa Gino's	22	restaurants
544	6/9/2012	Jimmy John's	47	restaurants
976	6/23/2012	Sears	193	shopping
1417	6/10/2012	RaceTrac/Raceway	43	transportation
114	7/16/2012	Giant Eagle	108	grocery
115	7/31/2012	Phillips 66	37	transportation
116	7/31/2012	Wawa	88	transportation
117	7/19/2012	Phillips 66	91	transportation
118	7/5/2012	MARTA	75	transportation
119	7/29/2012	Lukoil	90	transportation
120	7/5/2012	Southwest	95	transportation
121	7/15/2012	Royal Farms	48	transportation
122	7/29/2012	Greyhound	80	transportation
123	7/18/2012	movies	7	entertainment
124	7/20/2012	dvd	16	entertainment
125	7/15/2012	Netflix	24	entertainment
126	7/12/2012	Staples	485	home
127	7/22/2012	UPS	354	home
128	7/17/2012	Kirkland's	276	home
129	7/8/2012	The Bon-Ton	65	shopping
130	7/25/2012	Hollister	154	shopping
131	7/5/2012	Dish Network	267	utilities
132	7/27/2012	Mitchell's Fish Market	40	restaurants
133	7/23/2012	Panda Express	26	restaurants
134	7/16/2012	Montana Mike's	26	restaurants
135	7/7/2012	National Coney Island	46	restaurants
136	7/1/2012	Rock Bottom	10	restaurants
137	7/29/2012	Taco Time	24	restaurants
548	7/20/2012	Sinclair	36	transportation
549	7/13/2012	gas	91	transportation
555	7/15/2012	Target	242	home
986	7/1/2012	Airport	77	transportation
1001	7/24/2012	Church's	43	restaurants
1436	7/18/2012	dvd	16	entertainment
138	8/19/2012	Straub's Markets	154	grocery
139	8/24/2012	Winn-Dixie	199	grocery
140	8/21/2012	BP	45	transportation
141	8/8/2012	Shell	84	transportation
142	8/25/2012	MARTA	98	transportation
143	8/2/2012	QuikTrip	82	transportation
144	8/20/2012	BP	71	transportation
145	8/5/2012	Phillips 66	29	transportation
146	8/4/2012	Radioshack	309	home
147	8/9/2012	Target	166	home
148	8/21/2012	Naugles	28	restaurants
149	8/7/2012	Mr. Hero	5	restaurants
150	8/5/2012	Chuck-A-Rama	19	restaurants
151	8/3/2012	Jersey Mike's Subs	21	restaurants
152	8/10/2012	Camille's Sidewalk Cafe	30	restaurants
153	8/28/2012	McDonald's	5	restaurants
154	8/18/2012	California Pizza Kitchen	27	restaurants
155	8/6/2012	Boston Market	8	restaurants
156	8/21/2012	Charlie Brown's Steakhouse	12	restaurants
157	8/19/2012	Rally's	33	restaurants
1022	8/22/2012	Jim's Restaurants	26	restaurants
1449	8/22/2012	Kohl's	84	shopping
1459	8/14/2012	Fazoli's	17	restaurants
158	9/16/2012	Penn Traffic	21	grocery
159	9/5/2012	Nijiya Market	149	grocery
160	9/29/2012	Gulf	46	transportation
161	9/9/2012	RaceTrac/Raceway	22	transportation
162	9/10/2012	Speedway	90	transportation
163	9/12/2012	Kroger brand gasoline	45	transportation
164	9/1/2012	RaceTrac/Raceway	24	transportation
165	9/2/2012	Citgo	72	transportation
166	9/13/2012	JetBlue	79	transportation
167	9/9/2012	Regal	19	entertainment
168	9/7/2012	Costco	141	home
169	9/28/2012	Home Depot	350	home
170	9/11/2012	Radioshack	15	home
171	9/30/2012	CVS	383	home
172	9/28/2012	Boscov's	96	shopping
173	9/20/2012	Olive Garden	42	restaurants
174	9/12/2012	Green Mill	13	restaurants
604	9/15/2012	Bloomingdale's	36	shopping
175	10/16/2012	Exxon	63	transportation
176	10/30/2012	Getty	79	transportation
177	10/16/2012	Mobil	54	transportation
178	10/19/2012	gas	93	transportation
179	10/30/2012	Greyhound	71	transportation
180	10/5/2012	American Airlines	81	transportation
181	10/14/2012	movie	5	entertainment
182	10/22/2012	Best Buy	62	home
183	10/22/2012	Nordstrom Rack	80	shopping
184	10/1/2012	Saks Fifth Avenue	127	shopping
185	10/11/2012	Herberger's	103	shopping
186	10/10/2012	Aeropostale	181	shopping
187	10/9/2012	H&M	45	shopping
188	10/26/2012	DirectTV	53	utilities
189	10/6/2012	Southern Company	276	utilities
190	10/22/2012	Taco Time	23	restaurants
191	10/1/2012	Dunkin' Donuts	48	restaurants
192	10/18/2012	Ruby Tuesday	37	restaurants
193	10/2/2012	Swensons	49	restaurants
194	10/11/2012	Hardee's	17	restaurants
626	10/22/2012	Chick-fil-A	19	restaurants
630	10/23/2012	Village Inn	14	restaurants
1038	10/23/2012	Food 4 Less	118	grocery
1483	10/27/2012	movies	17	entertainment
195	11/28/2012	Kroger	126	grocery
196	11/23/2012	Central Market	21	grocery
197	11/1/2012	BP	76	transportation
198	11/16/2012	JetBlue	30	transportation
199	11/5/2012	Sheetz	66	transportation
200	11/10/2012	Hess	82	transportation
201	11/11/2012	QuickChek	82	transportation
202	11/21/2012	Sunoco	73	transportation
203	11/11/2012	BP	71	transportation
204	11/21/2012	Mobil	99	transportation
205	11/29/2012	UPS	405	home
206	11/26/2012	Walmart	421	home
207	11/5/2012	Lowes	357	home
208	11/22/2012	Barneys New York	50	shopping
209	11/20/2012	Bloomingdale's	87	shopping
210	11/1/2012	Younkers	53	shopping
211	11/13/2012	Sears Essentials	182	shopping
212	11/13/2012	Younkers	74	shopping
213	11/25/2012	Rainforest Cafe	45	restaurants
214	11/25/2012	Cinnabon	37	restaurants
215	11/15/2012	Hungry Howie's Pizza	30	restaurants
216	11/6/2012	Quiznos	32	restaurants
217	11/6/2012	Robeks	43	restaurants
218	11/14/2012	Papa Gino's	15	restaurants
219	11/23/2012	Starbucks	38	restaurants
220	11/7/2012	Smashburger	16	restaurants
221	11/14/2012	Benihana	17	restaurants
631	11/4/2012	Raley's	200	grocery
222	12/5/2012	Chevron	84	transportation
223	12/1/2012	Delta	54	transportation
224	12/24/2012	American Airlines	79	transportation
225	12/13/2012	Love's	77	transportation
226	12/6/2012	Best Buy	259	home
227	12/5/2012	Aeropostale	178	shopping
228	12/12/2012	Boscov's	72	shopping
229	12/24/2012	Sears	156	shopping
230	12/15/2012	Comcast	134	utilities
231	12/5/2012	Sprint	216	utilities
232	12/3/2012	White Castle	9	restaurants
233	12/31/2012	Church's	40	restaurants
234	12/30/2012	Arby's	6	restaurants
1076	12/15/2012	Lord & Taylor	81	shopping
235	1/5/2013	Associated Grocers of Florida	94	grocery
236	1/6/2013	76	80	transportation
237	1/1/2013	Chevron	37	transportation
238	1/8/2013	Greyhound	53	transportation
239	1/26/2013	Delta	85	transportation
240	1/18/2013	Kroger brand gasoline	33	transportation
241	1/22/2013	Wawa	25	transportation
242	1/27/2013	Speedway	24	transportation
243	1/3/2013	Hulu	25	entertainment
244	1/4/2013	Radioshack	187	home
245	1/6/2013	UPS	87	home
246	1/21/2013	Radioshack	493	home
247	1/3/2013	CVS	105	home
248	1/4/2013	Bergdorf Goodman	76	shopping
249	1/8/2013	Twin Peaks	22	restaurants
250	1/7/2013	Green Mill	44	restaurants
251	1/7/2013	Port of Subs	37	restaurants
252	1/5/2013	Johnny Rockets	13	restaurants
253	1/6/2013	Hooters	40	restaurants
254	1/7/2013	Carrows	42	restaurants
1089	1/31/2013	Texaco	29	transportation
255	2/11/2013	Brookshire's	100	grocery
256	2/15/2013	Regal	29	entertainment
257	2/27/2013	Costco	49	home
258	2/5/2013	Ikea	359	home
259	2/1/2013	Radioshack	146	home
260	2/1/2013	Nordstrom	171	shopping
261	2/24/2013	Elder-Beerman	84	shopping
262	2/1/2013	Bojangles' Famous Chicken 'n Biscuits	34	restaurants
263	2/28/2013	Texas Roadhouse	34	restaurants
264	2/9/2013	Valentino's	5	restaurants
265	2/16/2013	Boston Market	36	restaurants
266	2/18/2013	Auntie Anne's	39	restaurants
267	2/7/2013	Showmars	8	restaurants
268	2/27/2013	The Original Pancake House	33	restaurants
1555	2/24/2013	American Airlines	34	transportation
1560	2/2/2013	Boston Store	113	shopping
1566	2/20/2013	Skyline Chili	14	restaurants
1568	2/2/2013	Moe's Southwest Grill	46	restaurants
269	3/29/2013	Sprouts Farmers Market	172	grocery
270	3/1/2013	Nash Finch Company	186	grocery
271	3/2/2013	Chevron	69	transportation
272	3/26/2013	Valero	78	transportation
273	3/3/2013	American Airlines	93	transportation
274	3/5/2013	Murphy USA	91	transportation
275	3/31/2013	76	85	transportation
276	3/22/2013	Amoco	51	transportation
277	3/12/2013	Delta	61	transportation
278	3/26/2013	Chevron	30	transportation
279	3/3/2013	dvds	16	entertainment
280	3/13/2013	dvd	7	entertainment
281	3/11/2013	Netflix	10	entertainment
282	3/2/2013	Staples	409	home
283	3/29/2013	Costco	367	home
284	3/25/2013	Chuck-A-Rama	43	restaurants
285	3/9/2013	Applebee's	49	restaurants
705	3/1/2013	Hollister	78	shopping
1120	3/10/2013	Associated Grocers of the South	43	grocery
1130	3/26/2013	Tennesse Valley Authority	225	utilities
286	4/28/2013	Exxon	54	transportation
287	4/18/2013	American Airlines	37	transportation
288	4/2/2013	ARCO	20	transportation
289	4/25/2013	Speedway	36	transportation
290	4/14/2013	Marathon Oil	29	transportation
291	4/4/2013	Sheetz	60	transportation
292	4/6/2013	movies	16	entertainment
293	4/24/2013	dvd	27	entertainment
294	4/27/2013	movies	16	entertainment
295	4/1/2013	Best Buy	247	home
296	4/24/2013	JCPenney	22	shopping
297	4/15/2013	Bloomingdale's	62	shopping
298	4/13/2013	Carson Pirie Scott	156	shopping
299	4/22/2013	Seattle's Best Coffee	41	restaurants
300	4/22/2013	Cafe Rio	11	restaurants
301	4/29/2013	Montana Mike's	12	restaurants
730	4/29/2013	Camille's Sidewalk Cafe	41	restaurants
1143	4/21/2013	books	12	entertainment
1145	4/11/2013	Office Depot	362	home
1158	4/30/2013	Waffle House	11	restaurants
1593	4/19/2013	Hollister	171	shopping
302	5/3/2013	New Deal Market	181	grocery
303	5/10/2013	Tesco	62	grocery
304	5/31/2013	movie	28	entertainment
305	5/1/2013	movies	23	entertainment
306	5/24/2013	UPS	70	home
307	5/31/2013	Walmart	236	home
308	5/26/2013	Costco	56	home
309	5/21/2013	Barneys New York	85	shopping
310	5/21/2013	The Bon-Ton	107	shopping
311	5/8/2013	Nordstrom Rack	150	shopping
312	5/21/2013	Bergner's	174	shopping
313	5/20/2013	Sprint	291	utilities
314	5/5/2013	Quiznos	32	restaurants
315	5/6/2013	Auntie Anne's	25	restaurants
316	5/20/2013	Chipotle Mexican Grill	24	restaurants
317	5/13/2013	Quiznos	41	restaurants
318	5/25/2013	Noodles & Company	16	restaurants
745	5/31/2013	Ledo Pizza	15	restaurants
319	6/12/2013	Food Bazaar Supermarkets	153	grocery
320	6/2/2013	Sinclair	53	transportation
321	6/13/2013	dvd	18	entertainment
322	6/19/2013	dvds	20	entertainment
323	6/25/2013	movie	28	entertainment
324	6/7/2013	Best Buy	162	home
325	6/4/2013	Sears Essentials	156	shopping
326	6/9/2013	The Bon-Ton	112	shopping
327	6/9/2013	Parisian (Bon-Ton)	144	shopping
328	6/21/2013	The Bon-Ton	107	shopping
329	6/6/2013	H&M	118	shopping
330	6/8/2013	﻿Flint Energies	150	utilities
331	6/14/2013	Southern Company	227	utilities
332	6/26/2013	Jason's Deli	21	restaurants
333	6/15/2013	East of Chicago Pizza	44	restaurants
334	6/8/2013	Five Guys Famous Burgers and Fries	50	restaurants
335	6/2/2013	Cheddar's Casual Café	20	restaurants
336	6/4/2013	Bertucci's	30	restaurants
337	6/14/2013	In-N-Out Burger	41	restaurants
338	6/1/2013	Dixie Chili and Deli	49	restaurants
339	6/13/2013	Rock Bottom	5	restaurants
748	6/30/2013	American Airlines	28	transportation
1187	6/7/2013	Hulu	18	entertainment
1188	6/18/2013	Ikea	157	home
1623	6/14/2013	Sinclair	54	transportation
1628	6/20/2013	Sheetz	100	transportation
1636	6/15/2013	Off 5th Saks Fifth Avenue Outlet	97	shopping
340	7/29/2013	Associated Wholesalers	33	grocery
341	7/26/2013	Love's	53	transportation
342	7/14/2013	Wawa	88	transportation
343	7/8/2013	Netflix	11	entertainment
344	7/28/2013	movie	13	entertainment
345	7/26/2013	books	19	entertainment
346	7/10/2013	Home Depot	136	home
347	7/8/2013	Lowes	464	home
348	7/5/2013	﻿Flint Energies	130	utilities
349	7/17/2013	Valentino's	23	restaurants
350	7/3/2013	Starbucks	28	restaurants
351	7/16/2013	Pizza Inn	34	restaurants
352	7/11/2013	Dunkin' Donuts	44	restaurants
353	7/12/2013	Cheeseburger in Paradise	32	restaurants
777	7/8/2013	Boston Store	177	shopping
778	7/9/2013	Tennesse Valley Authority	299	utilities
1213	7/22/2013	Costco	151	home
1218	7/17/2013	Sprint	126	utilities
1653	7/14/2013	JCPenney	151	shopping
1655	7/9/2013	Bergdorf Goodman	60	shopping
354	8/1/2013	Arteagas Food Center	129	grocery
355	8/19/2013	Conoco	22	transportation
356	8/4/2013	Netflix	11	entertainment
357	8/9/2013	movies	28	entertainment
358	8/30/2013	dvds	9	entertainment
359	8/24/2013	UPS	85	home
360	8/14/2013	Lowes	102	home
361	8/28/2013	Office Depot	264	home
362	8/24/2013	Newegg	153	home
363	8/11/2013	Macy's	28	shopping
364	8/16/2013	Parisian (Bon-Ton)	98	shopping
365	8/23/2013	Dish Network	258	utilities
366	8/7/2013	Rubio's Fresh Mexican Grill	50	restaurants
367	8/27/2013	Rock Bottom	37	restaurants
368	8/2/2013	Papa Gino's	35	restaurants
369	8/27/2013	Bertucci's	27	restaurants
370	8/22/2013	Cinnabon	9	restaurants
371	8/14/2013	Landry's Restaurants	41	restaurants
791	8/22/2013	Carnival	67	transportation
1228	8/27/2013	American Eagle	79	shopping
1661	8/13/2013	Southwest	81	transportation
372	9/14/2013	Nugget Markets	90	grocery
373	9/30/2013	Cumberland Farms	77	transportation
374	9/10/2013	Hess	60	transportation
375	9/9/2013	Wawa	99	transportation
376	9/20/2013	Travelcenters of America	89	transportation
377	9/3/2013	Target	229	home
378	9/12/2013	Office Depot	86	home
379	9/14/2013	Bergdorf Goodman	172	shopping
380	9/7/2013	H&M	189	shopping
381	9/28/2013	Bergner's	113	shopping
382	9/12/2013	Aeropostale	180	shopping
383	9/23/2013	Georgia Institute of Technology	631	special
384	9/7/2013	Lyon's	48	restaurants
385	9/23/2013	Rainforest Cafe	35	restaurants
386	9/20/2013	EatZi's	34	restaurants
387	9/24/2013	Rubio's Fresh Mexican Grill	40	restaurants
1694	9/8/2013	Cumberland Farms	43	transportation
388	10/4/2013	Harris Teeter	167	grocery
389	10/16/2013	Conoco	59	transportation
390	10/23/2013	Citgo	30	transportation
391	10/13/2013	Sunoco	77	transportation
392	10/7/2013	Speedway	91	transportation
393	10/27/2013	Phillips 66	91	transportation
394	10/18/2013	Shell	57	transportation
395	10/24/2013	BP	41	transportation
396	10/11/2013	Sheetz	56	transportation
397	10/3/2013	movie	19	entertainment
398	10/26/2013	Netflix	15	entertainment
399	10/16/2013	Home Depot	56	home
400	10/9/2013	Staples	396	home
401	10/30/2013	Walmart	153	home
402	10/13/2013	Radioshack	289	home
403	10/26/2013	Rock Bottom	17	restaurants
404	10/25/2013	Checkers	17	restaurants
405	10/3/2013	Little Caesars	16	restaurants
406	10/25/2013	Taco Bueno	46	restaurants
407	10/26/2013	Roy Rogers Restaurants	5	restaurants
408	10/19/2013	Seasons 52	19	restaurants
409	10/19/2013	Planet Hollywood	37	restaurants
410	11/15/2013	Rouse's Supermarket	68	grocery
411	11/12/2013	Sentry Foods	91	grocery
412	11/4/2013	Buehler's	142	grocery
413	11/12/2013	Amoco	22	transportation
414	11/26/2013	Exxon	89	transportation
415	11/26/2013	Kroger brand gasoline	51	transportation
416	11/8/2013	Flying J	25	transportation
417	11/15/2013	Lukoil	35	transportation
418	11/11/2013	Shell	34	transportation
419	11/27/2013	movies	11	entertainment
420	11/29/2013	Ikea	384	home
421	11/6/2013	Walmart	234	home
422	11/27/2013	Lord & Taylor	123	shopping
423	11/2/2013	Bergdorf Goodman	87	shopping
424	11/18/2013	Macy's	130	shopping
425	11/14/2013	T-Mobile	135	utilities
426	11/11/2013	Old Country Buffet	16	restaurants
427	11/22/2013	Applebee's	22	restaurants
840	11/1/2013	7-Eleven brand gasoline	38	transportation
847	11/13/2013	Nordstrom Rack	162	shopping
848	11/8/2013	Von Maur	74	shopping
428	12/31/2013	Sullivan's Foods	51	grocery
429	12/6/2013	Lunardi's	138	grocery
430	12/20/2013	New Deal Supermarket	52	grocery
431	12/26/2013	Gulf	74	transportation
432	12/11/2013	Chevron	74	transportation
433	12/14/2013	Speedway	33	transportation
434	12/14/2013	"Gas City, Ltd."	40	transportation
435	12/1/2013	Pilot	96	transportation
436	12/24/2013	Amoco	92	transportation
437	12/3/2013	Amoco	43	transportation
438	12/5/2013	Regal	12	entertainment
439	12/11/2013	movies	16	entertainment
440	12/28/2013	dvds	13	entertainment
441	12/18/2013	American Eagle	72	shopping
442	12/22/2013	Bloomingdale's	134	shopping
443	12/24/2013	Dillard's	157	shopping
444	12/30/2013	Comcast	234	utilities
445	12/11/2013	Alabama Power	98	utilities
446	12/16/2013	Skyline Chili	8	restaurants
447	12/26/2013	Krystal	35	restaurants
448	12/12/2013	FATZ	9	restaurants
449	12/2/2013	Rally's	35	restaurants
450	12/20/2013	Romano's Macaroni Grill	20	restaurants
451	12/30/2013	Bubba Gump Shrimp Company	32	restaurants
452	12/27/2013	Little Caesars	39	restaurants
453	12/21/2013	Fleming's Prime Steakhouse & Wine Bar	34	restaurants
454	12/31/2013	Miller's Ale House	49	restaurants
1300	12/14/2013	Buehler's	108	grocery
1738	12/7/2013	Food Bazaar Supermarkets	47	grocery
1742	12/23/2013	Walmart	316	home
455	1/10/2012	Sedano's	61	grocery
456	1/30/2012	Sunoco	50	transportation
457	1/4/2012	Shell	60	transportation
459	1/16/2012	movie	21	entertainment
460	1/19/2012	Netflix	5	entertainment
461	1/15/2012	Bergner's	75	shopping
462	1/26/2012	GAP	46	shopping
463	1/21/2012	T-Mobile	194	utilities
464	1/1/2012	Souplantation and Sweet Tomatoes	37	restaurants
465	1/29/2012	EatZi's	15	restaurants
466	1/23/2012	Rally's	20	restaurants
467	1/17/2012	Jack's	29	restaurants
468	1/22/2012	Five Guys Famous Burgers and Fries	24	restaurants
888	1/26/2012	movie	29	entertainment
469	2/6/2012	Associated Grocers of New England	175	grocery
471	2/14/2012	JetBlue	33	transportation
472	2/18/2012	books	8	entertainment
473	2/17/2012	books	8	entertainment
474	2/15/2012	Alabama Power	129	utilities
475	2/11/2012	Sprint	243	utilities
476	2/21/2012	Runza	43	restaurants
477	2/6/2012	Naugles	34	restaurants
478	2/27/2012	Cafe Rio	21	restaurants
479	2/3/2012	IHOP	40	restaurants
480	2/8/2012	CiCi's Pizza	36	restaurants
481	2/17/2012	Raising Cane's Chicken Fingers	24	restaurants
482	2/16/2012	Cheddar's Casual Café	12	restaurants
483	2/21/2012	Pita Pit	17	restaurants
484	2/17/2012	Fleming's Prime Steakhouse & Wine Bar	50	restaurants
485	2/17/2012	On the Border Mexican Grill & Cantina	28	restaurants
1351	2/25/2012	Alabama Power	206	utilities
486	3/1/2012	Roundy's	78	grocery
487	3/23/2012	Market Basket	189	grocery
488	3/10/2012	H-Mart	166	grocery
489	3/18/2012	MARTA	69	transportation
490	3/6/2012	Kroger brand gasoline	39	transportation
491	3/30/2012	dvd	30	entertainment
492	3/8/2012	Regal	7	entertainment
493	3/21/2012	dvds	23	entertainment
494	3/14/2012	Office Depot	406	home
495	3/4/2012	Costco	96	home
496	3/19/2012	Radioshack	206	home
497	3/9/2012	GAP	77	shopping
498	3/23/2012	AT&T	154	utilities
499	3/4/2012	Alabama Power	227	utilities
500	4/24/2012	movie	17	entertainment
501	4/5/2012	books	18	entertainment
502	4/17/2012	books	18	entertainment
503	4/20/2012	Belk	94	shopping
505	4/7/2012	Applebee's	6	restaurants
935	4/17/2012	Stew Leonard's	29	grocery
506	5/11/2012	Superior Grocers	51	grocery
507	5/21/2012	Tops	193	grocery
508	5/1/2012	QuickChek	96	transportation
509	5/10/2012	Texaco	39	transportation
510	5/25/2012	MARTA	20	transportation
511	5/24/2012	Flying J	99	transportation
512	5/29/2012	Delta	97	transportation
513	5/26/2012	Hulu	15	entertainment
514	5/11/2012	movie	20	entertainment
515	5/19/2012	Radioshack	103	home
516	5/26/2012	Parisian (Bon-Ton)	121	shopping
517	5/16/2012	Off 5th Saks Fifth Avenue Outlet	72	shopping
518	5/24/2012	Off 5th Saks Fifth Avenue Outlet	101	shopping
519	5/6/2012	Last Call Neiman Marcus	100	shopping
520	5/23/2012	DirectTV	267	utilities
521	5/10/2012	Dish Network	164	utilities
522	5/13/2012	Robeks	34	restaurants
523	5/27/2012	Jersey Mike's Subs	28	restaurants
524	5/31/2012	Planet Hollywood	32	restaurants
525	5/6/2012	Shane's Rib Shack	49	restaurants
526	5/1/2012	Penn Station (restaurant)	49	restaurants
1400	5/6/2012	Kirkland's	121	home
527	6/8/2012	Sprouts Farmers Market	95	grocery
528	6/21/2012	Weis Markets	108	grocery
529	6/6/2012	Nash Finch Company	141	grocery
530	6/20/2012	Valero	23	transportation
531	6/8/2012	Airport	100	transportation
532	6/8/2012	Conoco	75	transportation
533	6/5/2012	7-Eleven brand gasoline	44	transportation
534	6/29/2012	Kirkland's	401	home
535	6/13/2012	GAP	162	shopping
536	6/16/2012	Sears	26	shopping
537	6/14/2012	Parisian (Bon-Ton)	100	shopping
538	6/18/2012	Shoney's	40	restaurants
539	6/13/2012	Maggiano's Little Italy	32	restaurants
540	6/10/2012	York Steak House	40	restaurants
542	6/6/2012	Damon's Grill	37	restaurants
543	6/22/2012	Burgerville	5	restaurants
971	6/29/2012	Hulu	12	entertainment
545	7/26/2012	Scolari's Food and Drug	39	grocery
546	7/3/2012	Sedano's	144	grocery
547	7/10/2012	Mars	40	grocery
550	7/19/2012	QuickChek	28	transportation
551	7/23/2012	Marathon Oil	57	transportation
552	7/1/2012	Netflix	12	entertainment
553	7/27/2012	dvds	14	entertainment
554	7/21/2012	Best Buy	166	home
556	7/11/2012	UPS	56	home
557	7/15/2012	Ikea	25	home
558	7/26/2012	Aeropostale	131	shopping
559	7/14/2012	Lord & Taylor	46	shopping
560	7/6/2012	Hollister	170	shopping
561	7/2/2012	JCPenney	174	shopping
562	7/23/2012	﻿Flint Energies	126	utilities
563	7/13/2012	Jersey Mike's Subs	20	restaurants
564	7/13/2012	Bahama Breeze	30	restaurants
565	7/29/2012	FATZ	47	restaurants
566	7/21/2012	Chick-fil-A	38	restaurants
567	7/30/2012	Lyon's	19	restaurants
568	7/1/2012	Buca di Beppo	7	restaurants
569	7/13/2012	Jack in the Box	27	restaurants
570	7/22/2012	Cinnabon	27	restaurants
